,Image,Trivy,CVE-bin-tool,Unique CVE-bin-tool
0,1maa_erlang:21-alpine,33,29,13
1,adysis_vector:v1.0.1,127,5,5
2,besscroft_picimpact:v2.0.2,8,13,13
3,breuner_elbencho:master-ubuntu1804,0,132,132
4,dockerhubaneo_armonik_pollingagent:0.33.0-SNAPSHOT.53.edf2da3a,77,0,0
5,domboeckli_sdjpa-hibernate-dao:0.0.1_feature_fix_h2_console-SNAPSHOT,8,36,36
6,elsamhaa_alpine:1,77,4,0
7,enmanuelmoreira_docker-ansible-debian:12-arm64,861,54,40
8,frostfree_kittygram_backend:v0.1,1990,171,83
9,genedna_mega:mono-ui-0.1-pre-release,0,5,5
10,hexlo_terraria-tmodloader-server:0.1.0.0,392,218,123
11,icoy_kube-combo-base:v0.0.7-amd64,283,0,0
12,jarebear_hbni-audio-archive:2025.03.23.13,516,132,115
13,jfcoz_blog:sha-b4a1160,971,1,1
14,karljohns0n_nginx-more:php-8.2-nodejs,5,363,363
15,kolejka_satori:judge,616,73,71
16,mateuszskowron21_metrics-exporter:v1.0,103,13,11
17,myonara_webmud3:unitopia,27,30,20
18,nathstevo97_ckan:302234cc4b597c3b0c8aa35e443f0a35f24cf169,1043,165,128
19,ngshiheng_cafireshistorydb:20250413,235,145,100
20,passimx_chats-frontend:0.0.1,7,7,6
21,phatluu313_el-fe:0ebef20b,6437,471,332
22,pheblar_flask_python_currency-weather_app:8149f6b91098ab20986e2f92e83d4606232d3bdd,11,16,3
23,w3io_w3-runtime:fd97f250b78da05a9811ac997fdb46bfcc08faac,890,75,71
24,rezcarbon_memorycortex:1.1.9-fixed,135,97,82
25,snilsumelis_hello-world-for-argocd:eb3214e,1,19,19
26,socrata_java-focal:17,1410,90,88
27,solvworld_web-app:1.0,3219,198,150
28,torizon_qt6-wayland-imx8:4-rc,3361,59,37
29,upswot_upswot.api:6.0.2.0,565,46,40
