,Image,Unique CVE-bin-tool vuls for Docker Scout,Unique CVE-bin-tool vuls for Docker Scout SBOM,Unique CVE-bin-tool vuls for Grype,Unique CVE-bin-tool vuls for Grype SBOM,Unique CVE-bin-tool vuls for Snyk,Unique CVE-bin-tool vuls for Trivy,Unique CVE-bin-tool vuls for Trivy SBOM
0,ecamp3travis_ecamp3-db-backup-restore:ddf84f5fa29b3a93ae3d71afb6fc15e5220d4b84,0,0,0,0,0,0,0
1,webhookrelay_webhookrelayd-arm:1.34.0,19,19,1,1,19,19,19
2,jrrs1_frontend-labon:1.0.1,5,5,5,5,5,5,5
3,resd_backend:30,75,75,75,75,75,75,75
4,httptoolkit_testserver:sha-710117c,12,12,12,12,13,12,12
5,itbuildgroup_authproxy:13384,0,0,0,0,0,0,0
6,atsproducts_ats.bus.dataservice-linux-x64-dev:3.3.23342.1-1,77,77,70,70,91,70,84
7,karljohns0n_nginx-more:php-8.2-nodejs,362,362,245,245,363,363,362
8,hubimage_knative-eventing-appender:v0.24.4,0,0,0,0,0,0,0
9,softradixad_itin-frontend:2025-04-16-11-59-13,4,4,4,4,5,4,4
10,pheblar_flask_python_currency-weather_app:8149f6b91098ab20986e2f92e83d4606232d3bdd,3,3,16,16,16,3,3
11,genedna_mega:mono-ui-0.1-pre-release,5,5,5,5,5,5,5
12,free5gc_smf:v3.4.0,11,11,7,7,35,12,12
13,swissnils_lids-inventsys-bridge:1.0.100-1743761501,2,2,1,1,2,1,1
14,stinobytes_pihole-unbound:sha-c71cec5,62,62,60,60,62,62,62
15,dockerhubaneo_armonik_pollingagent:0.33.0-SNAPSHOT.53.edf2da3a,0,0,0,0,0,0,0
16,devdisplayprobspl_auto_model_generator_frontend:1.0,6,6,5,5,25,6,9
17,vutiendat3601_echovibe-product:20250502.104410,2,2,2,2,2,2,2
18,hexlo_terraria-server-docker-arm64:1.4.2.3,133,133,109,109,109,109,122
19,findnfund_fnf-service-api:v0.1.0,91,91,84,84,109,84,101
20,mateuszskowron21_metrics-exporter:v1.0,11,11,12,12,13,11,11
21,altinityinfra_kerberos-kdc:1-69fee87ecd9bd26eef79aee8327eb5d1607acd91,83,83,82,82,60,83,83
22,jonchang_tact:sha-9ddc20a,2,2,2,2,3,3,3
23,snilsumelis_hello-world-for-argocd:eb3214e,19,19,19,19,19,19,19
24,kolla_prometheus-base:2023.2-ubuntu-jammy,88,88,87,87,88,88,88
25,tokiw_olm:be0.1,0,0,0,0,0,0,0
26,jfcoz_blog:sha-b4a1160,1,1,1,1,1,1,1
27,dockerinfratest_push-exporter:f541772c-ad8b-4e2f-9cc6-e918d9cf0cb2,0,0,0,0,0,0,0
28,azharshaikh662_hello-app:01,7,7,8,8,9,7,7
29,inzamamtahir_kamal_test:61c8acb1f518e8b5e7302e82a1bc5b1e5869519a,61,61,60,60,61,61,62
30,mongpranit_ebusinesscard:02052025-01,5,5,5,5,5,5,5
31,hexlo_terraria-tmodloader-server:0.1.0.0,123,123,123,123,123,123,167
32,noiro_aci-containers-controller:6.0.4.4.81c2369.041725.10566,0,0,0,0,0,0,0
33,seworkshop_kafka-test:1.509,132,132,117,117,132,132,132
34,saiprasadkrishnamurthy_reconciliation-service:0.1-SNAPSHOT,16,16,6,6,40,16,25
35,altinityinfra_test-base:1-16ee9e1c01224ee0167d4bd010a7f2cf451b74b4-aarch64,2518,2518,2525,2524,2529,2529,2518
36,kenoalords_velvyapp:7f9db3441e7b55726f890bc6cfc079ef2d444ec2,10,10,10,10,10,10,10
37,atareao_expertos:v0.1.0,2,2,2,2,2,2,2
38,kolejka_satori:judge,71,71,71,71,71,71,71
39,cy01_blackhole:v0.5.1,0,0,0,0,0,0,0
40,ppcelery_one-api:arm64-1ab9593,35,35,35,35,37,35,36
41,hhdev_php:8.2-apache,1,1,1,1,1,1,2
42,ltgc_gel:opensuse,0,0,0,0,0,0,0
43,free5gc_ueransim:v3.3.0,4,4,4,4,4,4,8
44,lab7aisupport_lab7ai-backend:a94a3be532b0ed59899309cb0f0d1550c4d91d8d,2,2,2,2,2,2,2
45,free5gc_n3iwue:v3.4.3,0,0,0,0,2,0,0
46,innosabi_node:20-alpine,5,5,5,5,5,5,5
47,khoubaib85_association-back:63,5,5,5,5,5,5,5
48,altinityinfra_dotnet-client:0-d130ef35e3a9fd08482ceb21df71d53828458ae7-aarch64,220,220,148,148,146,141,167
49,diodonfrost_ansible-almalinux:9,336,336,219,219,338,338,336
50,razz1k_itkovrochistapp-staging:09d52ab3f2cd4308ccbc2d165d4d0916e69be0f4,64,64,60,60,65,65,66
51,silentmecha_wine:unstable,49,49,49,49,49,49,74
52,ycstech_kube-controller-manager:v1.32.4,0,0,0,0,0,0,0
53,maksim1111_loook-api:20250502-e3a179a,4,4,4,4,4,4,4
54,21120414_ecommerce-backend:4518babaa7996ea4d6286497881e6d294a069d89,1,1,1,1,1,1,1
55,amooati_paback-django:amd64-latest,5,5,5,5,5,5,5
56,stbotog_dexchart-referral:d9ec38818b7e8b1d1c35cb0f6d7e293d091bb690,0,0,0,0,0,0,0
57,vlulukyan_autograde:3dce58b,0,0,0,0,0,0,0
58,icoy_kube-combo-base:v0.0.7-amd64,0,0,0,0,0,0,0
59,tomasgorsd_sqm-repo-images:atl-services-image,40,40,49,49,55,40,41
60,torizon_qt6-wayland-imx8:4-rc,43,43,37,37,59,37,48
61,upswot_upswot.api:6.0.2.0,43,43,40,40,40,40,46
62,rezcarbon_memorycortex:1.1.9-fixed,82,82,87,87,92,82,87
63,nathstevo97_ckan:302234cc4b597c3b0c8aa35e443f0a35f24cf169,131,131,127,127,129,128,138
64,realsoft2023_backend-dev-design:10042025,1017,1017,1025,1025,1070,990,1005
65,hdang09_cfms-fe:v1,3,3,3,3,3,3,3
66,joehorn_phpunit:12-php8.3,2,2,2,2,2,2,2
67,elsamhaa_alpine:1,0,0,0,0,0,0,0
68,adminff_sms-service-bot:develop-1722,3,3,2,2,3,2,3
69,vimeo_psalm-github-actions:4.9.1,45,45,17,17,78,45,46
70,guigeng_sing-box:v1.12.0-alpha.2,0,0,0,0,0,0,0
71,passimx_chats-frontend:0.0.1,6,6,6,6,6,6,6
72,jarebear_hbni-audio-archive:2025.03.23.13,122,122,120,120,120,115,126
73,thooper91_draw-steel-api:5eb72736fba6d5f37ef951b54e553066cd93534f,5,5,5,5,6,5,6
74,free5gc_udr:v3.4.2,6,6,4,4,8,6,6
75,louisroyer_dev-free5gc-smf:bookworm-2025-03-07-67367cb-slim,0,0,0,0,0,0,0
76,solvworld_web-app:1.0,161,161,148,148,160,150,168
77,breuner_elbencho:master-ubuntu1804,132,132,117,117,125,132,132
78,socrata_java-focal:17,88,88,88,88,88,88,89
79,woosungchoi_fpm-alpine:7.4-arm64,23,23,16,16,23,23,25
80,frostfree_kittygram_backend:v0.1,89,89,144,144,150,83,95
81,yuvadius_cannon:102788d9,1,1,1,1,2,1,2
82,besscroft_picimpact:v2.0.2,13,13,13,13,13,13,13
83,zbio_roostgpt-cli:34dd3d967d5100c4b34add731408d728e48dab5c,4,4,4,4,4,4,4
84,scmdtdevapp_rm-fe:v1,5,5,5,5,5,5,5
85,bunkerity_bunkerweb-scheduler:1.6.0-rc2,2,2,1,1,2,1,1
86,adysis_vector:v1.0.1,5,5,5,5,5,5,5
87,enmanuelmoreira_docker-ansible-debian:12-arm64,40,40,40,40,54,40,42
88,ikonde_care_tracker_backend:f438c1aeafb4545b8b76cf473faa62e9996dccb4,92,92,93,93,104,88,93
89,phatluu313_el-fe:0ebef20b,471,471,343,343,341,332,393
90,devradyalabs_raconn.webapp:0.2.0-staging.0,21,21,21,21,30,22,22
91,myonara_webmud3:unitopia,20,20,21,21,24,20,23
92,ngshiheng_cafireshistorydb:20250413,107,107,96,96,104,100,124
93,1maa_erlang:21-alpine,13,13,9,9,29,13,23
94,domboeckli_sdjpa-hibernate-dao:0.0.1_feature_fix_h2_console-SNAPSHOT,36,36,6,6,36,36,36
95,amerinoo_crosstrain_aio:2.1.4,5,5,5,5,5,5,5
96,sedatd_enreship_api:dev-2025-05-05_20-34-47,71,71,62,62,105,63,85
97,wiramin_dmsfe:80,4,4,4,4,4,4,4
98,oneelectronicbilling_etax_webportal_uat_v2:uat-1.9.280,12,12,7,7,35,12,18
99,vuepay_prod:1.0,157,157,185,185,208,157,157
100,ycstech_kube-proxy-s390x:v1.33.0-beta.0,8,8,6,6,6,6,7
101,camemis_ministry-dashboard-web:f304efe5,73,73,34,34,122,73,78
102,w3io_w3-runtime:fd97f250b78da05a9811ac997fdb46bfcc08faac,71,71,71,71,71,71,72
