,Image,Unique CVE-bin-tool vuls for Docker Scout,Unique CVE-bin-tool vuls for Docker Scout SBOM,Unique CVE-bin-tool vuls for Grype,Unique CVE-bin-tool vuls for Grype SBOM,Unique CVE-bin-tool vuls for Snyk,Unique CVE-bin-tool vuls for Trivy,Unique CVE-bin-tool vuls for Trivy SBOM
0,vulhub_activemq:5.17.3,101,101,84,84,85,85,107
1,vulhub_adminer:4.7.8,79,79,70,70,72,72,86
2,vulhub_apisix:2.9,751,753,417,417,416,415,415
3,vulhub_appweb:7.0.1,339,339,223,223,223,294,310
4,vulhub_aria2:1.18.8,276,276,193,193,193,231,251
5,vulhub_bash:4.3.0-with-httpd,231,231,155,155,155,196,204
6,vulhub_cacti:1.2.22,90,90,77,77,79,79,131
7,vulhub_celery:3.1.23,324,324,193,193,244,273,301
8,vulhub_cups-browsed:2.0.1,105,105,94,94,94,94,116
9,vulhub_git:2.12.2-with-openssh,221,221,111,111,109,105,189
