,Image,CVE-bin-tool,Docker Scout,Docker Scout SBOM,Grype,Grype SBOM,Snyk,Trivy,Trivy SBOM
0,memcached:1.6.32,0,14,14,75,75,161,80,11
1,tensorflow_tensorflow:nightly,88,1510,1510,2025,2036,465,1762,53
2,nginx:1.27,67,54,54,154,154,321,159,29
3,busybox:1.37,0,0,0,0,0,0,0,0
4,alpine:3.20,4,0,0,0,0,0,0,0
5,ubuntu:25.04,34,0,0,0,0,0,0,0
6,redis:7.4,52,74,74,135,135,164,138,69
7,postgres:16.6,50,91,91,221,221,347,224,81
8,python:3.13,112,143,142,1562,1562,1280,1565,80
9,node:23,111,132,131,1526,1526,1278,1530,79
10,httpd:2.4.62,18,38,38,132,132,288,135,20
11,mongo:8.0,85,83,104,138,138,157,110,68
12,rabbitmq:4,38,25,25,41,41,67,28,17
13,mariadb:11,85,84,84,724,724,154,115,66
14,registry:2,14,21,21,0,22,0,19,19
15,debian:12,0,14,14,75,75,163,80,11
16,php:8.2,3,66,66,1131,1131,654,1134,61
17,centos:centos7,790,98,68,1207,1207,1201,1208,1208
18,influxdb:1.11.8,46,42,42,158,158,301,152,26
19,consul:1.15.4,37,50,50,77,77,0,43,43
