,Image,Unique CVE-bin-tool vuls for Docker Scout,Unique CVE-bin-tool vuls for Docker Scout SBOM,Unique CVE-bin-tool vuls for Grype,Unique CVE-bin-tool vuls for Grype SBOM,Unique CVE-bin-tool vuls for Snyk,Unique CVE-bin-tool vuls for Trivy,Unique CVE-bin-tool vuls for Trivy SBOM
0,memcached:1.6.32,0,0,0,0,0,0,0
1,tensorflow_tensorflow:nightly,85,85,86,86,87,87,85
2,nginx:1.27,58,58,55,55,55,55,62
3,busybox:1.37,0,0,0,0,0,0,0
4,alpine:3.20,4,4,4,4,4,4,4
5,ubuntu:25.04,34,34,34,34,34,34,34
6,redis:7.4,7,7,9,9,52,8,8
7,postgres:16.6,5,5,7,7,50,6,6
8,python:3.13,101,101,97,97,97,97,103
9,node:23,100,100,96,96,96,96,102
10,httpd:2.4.62,17,17,17,17,17,17,18
11,mongo:8.0,39,39,41,41,84,40,40
12,rabbitmq:4,35,35,35,35,37,37,35
13,mariadb:11,39,39,41,41,84,40,40
14,registry:2,7,7,14,7,14,8,8
15,debian:12,0,0,0,0,0,0,0
16,php:8.2,3,3,3,3,3,3,3
17,centos:centos7,751,753,417,417,416,415,415
18,influxdb:1.11.8,42,42,41,41,41,41,41
19,consul:1.15.4,24,24,8,8,37,24,24
